start_time,end_time,response_time,service_name,model_list,request_id,decision,label,image_id,file_name,probability
1731422480,1731422480,0.48952961,ensemble_service,NASNetMobile_MobileNetV2_MobileNet_DenseNet121,c3883028-fa97-46f7-8e84-8994c137f7ae,n01582220,n01582220,26114,n01582220_26114,0.971234769
1731422480,1731422481,0.511921406,ensemble_service,DenseNet121_MobileNetV2_NASNetMobile_MobileNet,fdc974ae-2288-4bf7-86f1-a94bc897a02c,n01582220,n01582220,35923,n01582220_35923,0.96758531
1731422480,1731422481,0.591135979,ensemble_service,MobileNet_DenseNet121_MobileNetV2_NASNetMobile,d367ba07-3695-4726-b288-8e9c61fa4dfa,n01582220,n01582220,7114,n01582220_7114,0.972540557
1731422481,1731422481,0.565146446,ensemble_service,NASNetMobile_DenseNet121_MobileNet_MobileNetV2,6643cdff-e2f6-4516-b989-16e2d82c9712,n01582220,n01582220,1809,n01582220_1809,0.968375519
1731422481,1731422482,0.557250977,ensemble_service,DenseNet121_NASNetMobile_MobileNetV2_MobileNet,1aec1969-9f79-4660-990d-a42a5a05e7a7,n01582220,n01582220,6866,n01582220_6866,0.973898053
1731422481,1731422482,0.621753216,ensemble_service,DenseNet121_NASNetMobile_MobileNetV2_MobileNet,21eb17a7-ac3c-46c3-9c65-37da737695be,n01582220,n01582220,6276,n01582220_6276,0.972570807
1731422482,1731422482,0.643787861,ensemble_service,DenseNet121_NASNetMobile_MobileNetV2_MobileNet,0ee4674f-12e3-4725-9fe5-a8894a83736b,n01582220,n01582220,517,n01582220_517,0.949233413
1731422482,1731422483,0.615555048,ensemble_service,DenseNet121_NASNetMobile_MobileNetV2_MobileNet,7fbf28c0-163e-4df0-991e-037aa3f8d8d5,n02488702,n01582220,4895,n01582220_4895,0.620978415
1731422482,1731422483,0.577075481,ensemble_service,MobileNet_DenseNet121_MobileNetV2_NASNetMobile,9be219f4-bb82-43dc-b7af-5a4fadfa15d6,n01806567,n01582220,4950,n01582220_4950,0.447004686
1731422483,1731422483,0.638694286,ensemble_service,DenseNet121_MobileNet_NASNetMobile_MobileNetV2,dba6a3a0-1032-4a05-970b-de4ce8258501,n01582220,n01582220,25333,n01582220_25333,0.963093147
1731422483,1731422484,0.608191729,ensemble_service,DenseNet121_NASNetMobile_MobileNetV2_MobileNet,f59424e8-80e5-418a-968e-8b85fb5273b6,n01582220,n01582220,5768,n01582220_5768,0.955417097
1731422483,1731422484,0.569067955,ensemble_service,DenseNet121_NASNetMobile_MobileNetV2_MobileNet,6989795a-173f-4bc2-8586-6f8fafa7092f,n02018207,n01582220,359,n01582220_359,0.557659686
1731422484,1731422484,0.567584276,ensemble_service,DenseNet121_NASNetMobile_MobileNetV2_MobileNet,38116b6c-2df0-411e-86c7-511ef3be6f04,n01582220,n01582220,6980,n01582220_6980,0.943958819
1731422484,1731422485,0.595678568,ensemble_service,DenseNet121_NASNetMobile_MobileNetV2_MobileNet,6f4bd43a-fc50-4cdf-b9f6-324589b842e5,n01582220,n01582220,32562,n01582220_32562,0.895553336
1731422484,1731422485,0.588007212,ensemble_service,DenseNet121_NASNetMobile_MobileNetV2_MobileNet,dc2e7656-2953-4f80-b3b3-63c0b6452c09,n01582220,n01582220,34111,n01582220_34111,0.961719796
1731422485,1731422485,0.550947666,ensemble_service,DenseNet121_NASNetMobile_MobileNetV2_MobileNet,1f3f8718-2cad-4257-b933-12ba4c180a12,n01582220,n01582220,11503,n01582220_11503,0.944675922
1731422485,1731422486,0.516174078,ensemble_service,DenseNet121_NASNetMobile_MobileNetV2_MobileNet,0767307e-6643-4546-8bdb-b92634ecbfaa,n01582220,n01582220,4777,n01582220_4777,0.766596347
1731422485,1731422486,0.570643187,ensemble_service,DenseNet121_NASNetMobile_MobileNetV2_MobileNet,3ad16221-762e-4fcc-8b44-09921fe73d82,n01582220,n01582220,1287,n01582220_1287,0.635689236
1731422486,1731422486,0.535476208,ensemble_service,DenseNet121_NASNetMobile_MobileNetV2_MobileNet,9ae97ac7-f3d9-41d7-8118-fc667650a769,n01582220,n01582220,2905,n01582220_2905,0.931882426
1731422486,1731422487,0.522011042,ensemble_service,DenseNet121_NASNetMobile_MobileNetV2_MobileNet,cf96c894-f75d-44c6-b875-18b0a8ad6e9b,n01582220,n01582220,33893,n01582220_33893,0.931131214
1731422486,1731422487,0.494310617,ensemble_service,DenseNet121_NASNetMobile_MobileNetV2_MobileNet,7965c53e-1757-48c7-b0c9-b0b268818c44,n01582220,n01582220,11320,n01582220_11320,0.921151355
1731422487,1731422487,0.555211306,ensemble_service,DenseNet121_NASNetMobile_MobileNetV2_MobileNet,e2cc6550-0c3d-4ae1-b533-b95dff19fc39,n01582220,n01582220,9200,n01582220_9200,0.811309069
1731422487,1731422488,0.536418676,ensemble_service,MobileNetV2_DenseNet121_NASNetMobile_MobileNet,a8604fc3-149d-48aa-ba06-436e902686fe,n01582220,n01582220,11073,n01582220_11073,0.526533671
1731422487,1731422488,0.521138191,ensemble_service,DenseNet121_NASNetMobile_MobileNetV2_MobileNet,3887bcd8-0da8-4973-87c0-d09c14b7ea4a,n02172182,n01582220,4885,n01582220_4885,0.531107977
1731422488,1731422488,0.599462271,ensemble_service,DenseNet121_NASNetMobile_MobileNetV2_MobileNet,839ebaad-bf58-4589-88a2-b6dd952a8b4d,n01582220,n01582220,5044,n01582220_5044,0.836740926
1731422488,1731422489,0.58082509,ensemble_service,DenseNet121_NASNetMobile_MobileNetV2_MobileNet,282c369c-14cb-44f7-a771-97f670a29c4e,n01582220,n01582220,6876,n01582220_6876,0.968755066
1731422488,1731422489,0.580748558,ensemble_service,DenseNet121_MobileNetV2_MobileNet_NASNetMobile,25d667e9-f320-4021-8158-f74ab02bfaa1,n01582220,n01582220,210,n01582220_210,0.871382326
1731422489,1731422489,0.554595947,ensemble_service,DenseNet121_NASNetMobile_MobileNetV2_MobileNet,c106b77b-6092-465e-9cd4-e5e66e096254,n01582220,n01582220,2239,n01582220_2239,0.975771397
1731422489,1731422490,0.593981028,ensemble_service,DenseNet121_NASNetMobile_MobileNetV2_MobileNet,b94ce49a-8950-40c4-9be1-c132d81c8954,n01582220,n01582220,6453,n01582220_6453,0.852030218
1731422489,1731422490,0.570113897,ensemble_service,DenseNet121_NASNetMobile_MobileNetV2_MobileNet,ef000fa2-6445-4c32-9626-488da4e1cda4,n01580077,n01582220,3192,n01582220_3192,0.896818042
1731422490,1731422490,0.54441762,ensemble_service,MobileNetV2_NASNetMobile_DenseNet121_MobileNet,582d5a70-db19-4720-a7f2-566b7091f73a,n01582220,n01582220,3885,n01582220_3885,0.967128962
1731422490,1731422491,0.511896133,ensemble_service,DenseNet121_NASNetMobile_MobileNetV2_MobileNet,c35cb3e9-93ee-46b4-8647-acf05b78261a,n01582220,n01582220,4562,n01582220_4562,0.685415044
1731422490,1731422491,0.567896843,ensemble_service,DenseNet121_NASNetMobile_MobileNetV2_MobileNet,af37dbc8-6c84-41fe-bd44-19cca3bb0f3f,n01582220,n01582220,10651,n01582220_10651,0.936746806
1731422491,1731422491,0.527795553,ensemble_service,DenseNet121_NASNetMobile_MobileNetV2_MobileNet,8d8d3cbd-4aa3-4305-9a23-61713cae199f,n01582220,n01582220,6240,n01582220_6240,0.944130898
1731422491,1731422492,0.522821903,ensemble_service,MobileNet_NASNetMobile_MobileNetV2_DenseNet121,aa32a25b-ab5e-4863-837e-3073b7bfa484,n01582220,n01582220,352,n01582220_352,0.731052831
