start_time,end_time,response_time,service_name,inference,model_name,label,image_id,file_name
1731615028.8046863,1731615029.9498377,1.1451513767242432,inference_service,n01582220_0.7993510961532593,EfficientNetB7,n01582220,26114,n01582220_26114
1731615029.9525652,1731615030.327077,0.3745114803314209,inference_service,n01582220_0.7183216214179993,EfficientNetB7,n01582220,35923,n01582220_35923
1731615030.4053435,1731615030.9612355,0.5558919906616211,inference_service,n01582220_0.7548913359642029,EfficientNetB7,n01582220,7114,n01582220_7114
1731615031.2061174,1731615031.7590556,0.5529382228851318,inference_service,n01582220_0.7755591869354248,EfficientNetB7,n01582220,1809,n01582220_1809
1731615031.9940536,1731615032.5512924,0.5572388172149658,inference_service,n01582220_0.81096351146698,EfficientNetB7,n01582220,6866,n01582220_6866
1731615032.7820745,1731615033.3360302,0.5539557933807373,inference_service,n01582220_0.7919792532920837,EfficientNetB7,n01582220,6276,n01582220_6276
1731615033.59636,1731615034.1500573,0.5536973476409912,inference_service,n01582220_0.7105586528778076,EfficientNetB7,n01582220,517,n01582220_517
1731615034.4060557,1731615034.9596727,0.553617000579834,inference_service,n01582220_0.45090118050575256,EfficientNetB7,n01582220,4895,n01582220_4895
1731615035.2090695,1731615035.764963,0.5558931827545166,inference_service,n01806567_0.6160308122634888,EfficientNetB7,n01582220,4950,n01582220_4950
1731615035.993904,1731615036.5475366,0.5536324977874756,inference_service,n01582220_0.7910534739494324,EfficientNetB7,n01582220,25333,n01582220_25333
1731615036.7878633,1731615037.3419409,0.5540776252746582,inference_service,n01582220_0.7428077459335327,EfficientNetB7,n01582220,5768,n01582220_5768
1731615037.601821,1731615038.1578572,0.5560362339019775,inference_service,n02018207_0.3212215006351471,EfficientNetB7,n01582220,359,n01582220_359
1731615038.400488,1731615038.9552712,0.5547831058502197,inference_service,n01582220_0.7999858260154724,EfficientNetB7,n01582220,6980,n01582220_6980
1731615039.1894505,1731615039.743493,0.5540425777435303,inference_service,n01582220_0.8256568908691406,EfficientNetB7,n01582220,32562,n01582220_32562
1731615039.9978373,1731615040.5501442,0.5523068904876709,inference_service,n01582220_0.7525676488876343,EfficientNetB7,n01582220,34111,n01582220_34111
1731615040.8047652,1731615041.3601804,0.555415153503418,inference_service,n01582220_0.7876346111297607,EfficientNetB7,n01582220,11503,n01582220_11503
1731615041.603698,1731615042.1566615,0.5529634952545166,inference_service,,EfficientNetB7,n01582220,4777,n01582220_4777
1731615042.4071348,1731615042.9634116,0.556276798248291,inference_service,n01582220_0.6949290633201599,EfficientNetB7,n01582220,1287,n01582220_1287
1731615043.215932,1731615043.773761,0.5578291416168213,inference_service,n01582220_0.7739090323448181,EfficientNetB7,n01582220,2905,n01582220_2905
1731615044.005274,1731615044.5615714,0.5562973022460938,inference_service,n01582220_0.7601711750030518,EfficientNetB7,n01582220,33893,n01582220_33893
1731615044.7895143,1731615045.3423104,0.5527958869934082,inference_service,n01582220_0.5577234029769897,EfficientNetB7,n01582220,11320,n01582220_11320
1731615045.6050038,1731615046.1581595,0.5531558990478516,inference_service,,EfficientNetB7,n01582220,9200,n01582220_9200
1731615046.4055462,1731615046.960611,0.5550651550292969,inference_service,n01582220_0.4688366949558258,EfficientNetB7,n01582220,11073,n01582220_11073
1731615047.194805,1731615047.7494664,0.554661750793457,inference_service,,EfficientNetB7,n01582220,4885,n01582220_4885
1731615048.0075529,1731615048.5636375,0.5560848712921143,inference_service,n01582220_0.41673994064331055_n01601694_0.3094524145126343,EfficientNetB7,n01582220,5044,n01582220_5044
1731615048.789236,1731615049.3448873,0.5556511878967285,inference_service,n01582220_0.8338324427604675,EfficientNetB7,n01582220,6876,n01582220_6876
1731615049.608685,1731615050.164262,0.5555770397186279,inference_service,n01582220_0.553520143032074,EfficientNetB7,n01582220,210,n01582220_210
1731615050.4088953,1731615050.9631162,0.5542209148406982,inference_service,n01582220_0.8121528029441833,EfficientNetB7,n01582220,2239,n01582220_2239
1731615051.2131708,1731615051.767884,0.554713249206543,inference_service,n01582220_0.7342632412910461,EfficientNetB7,n01582220,6453,n01582220_6453
1731615051.9974806,1731615052.5498872,0.5524065494537354,inference_service,n01582220_0.7378246188163757,EfficientNetB7,n01582220,3192,n01582220_3192
1731615052.7966404,1731615053.3482492,0.5516088008880615,inference_service,n01582220_0.7974562048912048,EfficientNetB7,n01582220,3885,n01582220_3885
1731615053.610114,1731615054.1646938,0.5545799732208252,inference_service,n01582220_0.8262527585029602,EfficientNetB7,n01582220,4562,n01582220_4562
1731615054.412106,1731615054.9655898,0.5534837245941162,inference_service,n01582220_0.7732827067375183,EfficientNetB7,n01582220,10651,n01582220_10651
1731615055.2159617,1731615055.7743764,0.5584149360656738,inference_service,n01582220_0.4910435080528259,EfficientNetB7,n01582220,6240,n01582220_6240
1731615056.0129454,1731615056.5680134,0.5550680160522461,inference_service,n01582220_0.35536515712738037,EfficientNetB7,n01582220,352,n01582220_352
1731615056.9254,1731615057.4788013,0.5534012317657471,inference_service,n01582220_0.8062015175819397,EfficientNetB7,n01582220,1568,n01582220_1568
1731615057.597911,1731615058.150335,0.5524241924285889,inference_service,n01582220_0.6871927380561829,EfficientNetB7,n01582220,17648,ILSVRC2012_val_00017648_n01582220
1731615058.4259524,1731615058.981599,0.5556468963623047,inference_service,n01582220_0.705724835395813,EfficientNetB7,n01582220,11041,n01582220_11041
1731615059.2255013,1731615059.780488,0.5549867153167725,inference_service,n01582220_0.7533398270606995,EfficientNetB7,n01582220,2365,n01582220_2365
