start_time,end_time,response_time,service_name,inference,model_name,label,image_id,file_name
1731574750.1025462,1731574750.4507768,0.3482306003570556,inference_service,n01582220_0.897318422794342,EfficientNetV2S,n01582220,26114,n01582220_26114
1731574751.470826,1731574751.844974,0.3741481304168701,inference_service,n01582220_0.8897004127502441,EfficientNetV2S,n01582220,35923,n01582220_35923
1731574752.8714309,1731574753.2695503,0.3981194496154785,inference_service,n01582220_0.866715133190155,EfficientNetV2S,n01582220,7114,n01582220_7114
1731574754.2770326,1731574754.6055536,0.3285210132598877,inference_service,n01582220_0.9050719738006592,EfficientNetV2S,n01582220,1809,n01582220_1809
1731574755.6339817,1731574755.9418998,0.3079180717468261,inference_service,n01582220_0.9149972796440125,EfficientNetV2S,n01582220,6866,n01582220_6866
1731574757.067734,1731574757.4020753,0.334341287612915,inference_service,n01582220_0.8890385627746582,EfficientNetV2S,n01582220,6276,n01582220_6276
1731574758.475702,1731574758.808385,0.3326826095581054,inference_service,n01582220_0.8903467059135437,EfficientNetV2S,n01582220,517,n01582220_517
1731574759.8632624,1731574760.2363544,0.3730919361114502,inference_service,n01582220_0.8467727303504944,EfficientNetV2S,n01582220,4895,n01582220_4895
1731574761.2720487,1731574761.6126504,0.3406016826629638,inference_service,n01806567_0.7057491540908813,EfficientNetV2S,n01582220,4950,n01582220_4950
1731574762.6665478,1731574763.069825,0.4032771587371826,inference_service,n01582220_0.8989189267158508,EfficientNetV2S,n01582220,25333,n01582220_25333
1731574764.0633876,1731574764.4556432,0.3922555446624756,inference_service,n01582220_0.9012498259544373,EfficientNetV2S,n01582220,5768,n01582220_5768
1731574765.4929144,1731574765.847437,0.3545224666595459,inference_service,n01582220_0.8984853625297546,EfficientNetV2S,n01582220,359,n01582220_359
1731574766.8543365,1731574767.171478,0.3171415328979492,inference_service,n01582220_0.9175475835800171,EfficientNetV2S,n01582220,6980,n01582220_6980
1731574768.27276,1731574768.6017263,0.3289666175842285,inference_service,n01582220_0.9180272221565247,EfficientNetV2S,n01582220,32562,n01582220_32562
1731574769.6722949,1731574770.03568,0.3633852005004883,inference_service,n01582220_0.8774760365486145,EfficientNetV2S,n01582220,34111,n01582220_34111
1731574771.068104,1731574771.3859708,0.3178668022155761,inference_service,n01582220_0.940337061882019,EfficientNetV2S,n01582220,11503,n01582220_11503
1731574772.4566476,1731574772.8167737,0.3601260185241699,inference_service,n01582220_0.8114433288574219,EfficientNetV2S,n01582220,4777,n01582220_4777
1731574773.871145,1731574774.2418764,0.3707313537597656,inference_service,n01582220_0.884708821773529,EfficientNetV2S,n01582220,1287,n01582220_1287
1731574775.2710676,1731574775.6036046,0.3325369358062744,inference_service,n01582220_0.8934820294380188,EfficientNetV2S,n01582220,2905,n01582220_2905
