start_time,end_time,response_time,service_name,inference,model_name,label,image_id,file_name
1731422479.813333,1731422479.8155096,0.0021765232086181,inference_service,n01582220_0.9575217962265015,MobileNetV2,n01582220,26114,n01582220_26114
1731422480.1829035,1731422480.1854298,0.0025262832641601,inference_service,n01582220_0.9346445798873901,MobileNetV2,n01582220,35923,n01582220_35923
1731422480.558854,1731422480.562529,0.0036752223968505,inference_service,n01582220_0.9750297665596008,MobileNetV2,n01582220,7114,n01582220_7114
1731422480.8532398,1731422480.8535163,0.0002765655517578,inference_service,n01582220_0.9777719974517822,MobileNetV2,n01582220,1809,n01582220_1809
1731422481.178112,1731422481.179674,0.0015621185302734,inference_service,n01582220_0.9913403391838074,MobileNetV2,n01582220,6866,n01582220_6866
1731422481.5009608,1731422481.5012174,0.0002565383911132,inference_service,n01582220_0.9516237378120422,MobileNetV2,n01582220,6276,n01582220_6276
1731422481.8503268,1731422481.8506384,0.0003116130828857,inference_service,n01582220_0.8773111701011658,MobileNetV2,n01582220,517,n01582220_517
1731422482.175544,1731422482.175894,0.000349998474121,inference_service,n02493793_0.32200613617897034,MobileNetV2,n01582220,4895,n01582220_4895
1731422482.507013,1731422482.508113,0.0010995864868164,inference_service,n01806567_0.413638710975647,MobileNetV2,n01582220,4950,n01582220_4950
1731422482.8399236,1731422482.8402734,0.0003497600555419,inference_service,n01582220_0.9422001838684082,MobileNetV2,n01582220,25333,n01582220_25333
1731422483.1703243,1731422483.1706152,0.0002908706665039,inference_service,n01582220_0.9008449912071228,MobileNetV2,n01582220,5768,n01582220_5768
1731422483.5109298,1731422483.511277,0.0003471374511718,inference_service,n01582220_0.6639587879180908,MobileNetV2,n01582220,359,n01582220_359
1731422483.7965512,1731422483.8032832,0.0067319869995117,inference_service,n01582220_0.9898647665977478,MobileNetV2,n01582220,6980,n01582220_6980
1731422484.1781735,1731422484.1797953,0.0016217231750488,inference_service,n01582220_0.9487521052360535,MobileNetV2,n01582220,32562,n01582220_32562
1731422484.4735289,1731422484.4767182,0.0031893253326416,inference_service,n01582220_0.9343641996383667,MobileNetV2,n01582220,34111,n01582220_34111
1731422484.842414,1731422484.842744,0.0003297328948974,inference_service,n01582220_0.859359085559845,MobileNetV2,n01582220,11503,n01582220_11503
1731422485.1570048,1731422485.1594925,0.0024876594543457,inference_service,n01582220_0.5220632553100586,MobileNetV2,n01582220,4777,n01582220_4777
1731422485.5290418,1731422485.5293329,0.000291109085083,inference_service,n01582220_0.36040499806404114,MobileNetV2,n01582220,1287,n01582220_1287
1731422485.866107,1731422485.866371,0.0002639293670654,inference_service,n01582220_0.9093136191368103,MobileNetV2,n01582220,2905,n01582220_2905
1731422486.183236,1731422486.183884,0.000648021697998,inference_service,n01582220_0.8258122205734253,MobileNetV2,n01582220,33893,n01582220_33893
1731422486.5120206,1731422486.5143683,0.0023479461669921,inference_service,n01582220_0.7719939947128296,MobileNetV2,n01582220,11320,n01582220_11320
1731422486.872444,1731422486.8742845,0.0018403530120849,inference_service,n01582220_0.8641682267189026,MobileNetV2,n01582220,9200,n01582220_9200
1731422487.1900592,1731422487.1914575,0.0013983249664306,inference_service,n01582220_0.5091407299041748,MobileNetV2,n01582220,11073,n01582220_11073
1731422487.5371077,1731422487.5433447,0.0062370300292968,inference_service,,MobileNetV2,n01582220,4885,n01582220_4885
1731422487.8448036,1731422487.8478718,0.003068208694458,inference_service,n01582220_0.6843093037605286,MobileNetV2,n01582220,5044,n01582220_5044
1731422488.1779444,1731422488.1814833,0.0035388469696044,inference_service,n01582220_0.9550321698188782,MobileNetV2,n01582220,6876,n01582220_6876
1731422488.4985209,1731422488.5020816,0.0035607814788818,inference_service,n01582220_0.580748438835144,MobileNetV2,n01582220,210,n01582220_210
1731422488.7989738,1731422488.7991571,0.0001833438873291,inference_service,n01582220_0.9383053183555603,MobileNetV2,n01582220,2239,n01582220_2239
1731422489.170402,1731422489.1734614,0.0030593872070312,inference_service,n01582220_0.9178773760795593,MobileNetV2,n01582220,6453,n01582220_6453
1731422489.5190003,1731422489.5224762,0.0034756660461425,inference_service,n01580077_0.8692724704742432,MobileNetV2,n01582220,3192,n01582220_3192
1731422489.8541827,1731422489.854456,0.0002732276916503,inference_service,n01582220_0.9798787832260132,MobileNetV2,n01582220,3885,n01582220_3885
1731422490.1741536,1731422490.1774416,0.0032880306243896,inference_service,n01582220_0.523593008518219,MobileNetV2,n01582220,4562,n01582220_4562
1731422490.521415,1731422490.5217614,0.0003464221954345,inference_service,n01582220_0.8215375542640686,MobileNetV2,n01582220,10651,n01582220_10651
1731422490.8714812,1731422490.8718352,0.0003540515899658,inference_service,n01582220_0.9179336428642273,MobileNetV2,n01582220,6240,n01582220_6240
1731422491.1740854,1731422491.1780183,0.0039329528808593,inference_service,n01582220_0.9197957515716553,MobileNetV2,n01582220,352,n01582220_352
1731422491.5270913,1731422491.5274382,0.0003468990325927,inference_service,n01582220_0.9108678102493286,MobileNetV2,n01582220,1568,n01582220_1568
1731422491.873959,1731422491.87547,0.0015108585357666,inference_service,n01582220_0.7833957076072693,MobileNetV2,n01582220,17648,ILSVRC2012_val_00017648_n01582220
1731422492.207529,1731422492.2082226,0.0006935596466064,inference_service,n01582220_0.8850133419036865,MobileNetV2,n01582220,11041,n01582220_11041
1731422492.5383143,1731422492.53904,0.000725507736206,inference_service,n01582220_0.9428561329841614,MobileNetV2,n01582220,2365,n01582220_2365
1731422492.863469,1731422492.8662424,0.0027735233306884,inference_service,,MobileNetV2,n01582220,5931,n01582220_5931
1731422493.1995618,1731422493.2052832,0.0057213306427001,inference_service,n01582220_0.8811046481132507,MobileNetV2,n01582220,1798,n01582220_1798
1731422493.5134425,1731422493.515092,0.0016498565673828,inference_service,n01582220_0.949038565158844,MobileNetV2,n01582220,500,n01582220_500
1731422493.82231,1731422493.82288,0.0005700588226318,inference_service,n01582220_0.9617648124694824,MobileNetV2,n01582220,13036,n01582220_13036
1731422494.281307,1731422494.281971,0.0006639957427978,inference_service,n01582220_0.6855773329734802,MobileNetV2,n01582220,34628,n01582220_34628
1731422494.5201168,1731422494.5214574,0.001340627670288,inference_service,n01582220_0.8737637996673584,MobileNetV2,n01582220,4053,n01582220_4053
1731422494.8333416,1731422494.8356616,0.0023200511932373,inference_service,n01582220_0.9448264837265015,MobileNetV2,n01582220,3195,n01582220_3195
1731422495.1766336,1731422495.1797209,0.0030872821807861,inference_service,n01582220_0.4168413579463959,MobileNetV2,n01582220,8843,n01582220_8843
1731422495.5180516,1731422495.5226762,0.004624605178833,inference_service,n01582220_0.5876792669296265,MobileNetV2,n01582220,704,n01582220_704
1731422495.8794036,1731422495.8806634,0.0012598037719726,inference_service,n01582220_0.8664263486862183,MobileNetV2,n01582220,37294,n01582220_37294
1731422496.1970894,1731422496.1988993,0.0018098354339599,inference_service,n01582220_0.983954906463623,MobileNetV2,n01582220,3205,n01582220_3205
1731422496.5224335,1731422496.523645,0.001211404800415,inference_service,n01582220_0.9626792669296265,MobileNetV2,n01582220,5660,n01582220_5660
1731422496.8635068,1731422496.8648732,0.001366376876831,inference_service,n01582220_0.8128185868263245,MobileNetV2,n01582220,1665,n01582220_1665
1731422497.210658,1731422497.2113223,0.0006642341613769,inference_service,n01592084_0.3537389636039734,MobileNetV2,n01582220,7513,n01582220_7513
1731422497.5275772,1731422497.5304253,0.0028481483459472,inference_service,n01582220_0.8430209159851074,MobileNetV2,n01582220,6039,n01582220_6039
1731422497.8639655,1731422497.8661222,0.0021567344665527,inference_service,n01582220_0.7964523434638977,MobileNetV2,n01582220,11238,n01582220_11238
1731422498.1988926,1731422498.200775,0.0018820762634277,inference_service,n01582220_0.9146837592124939,MobileNetV2,n01582220,4371,n01582220_4371
1731422498.5145082,1731422498.5156188,0.001110553741455,inference_service,n01582220_0.9229296445846558,MobileNetV2,n01582220,6460,n01582220_6460
1731422498.8350244,1731422498.8356452,0.0006208419799804,inference_service,n01582220_0.6410585641860962,MobileNetV2,n01582220,2987,n01582220_2987
1731422499.1878607,1731422499.190411,0.0025503635406494,inference_service,n01582220_0.8743140697479248,MobileNetV2,n01582220,4127,n01582220_4127
1731422499.534608,1731422499.535433,0.0008249282836914,inference_service,n01582220_0.98415607213974,MobileNetV2,n01582220,797,n01582220_797
1731422499.869764,1731422499.871482,0.0017182826995849,inference_service,n01560419_0.6178929209709167,MobileNetV2,n01582220,337,n01582220_337
1731422500.1961105,1731422500.198582,0.0024714469909667,inference_service,n01582220_0.9618220329284668,MobileNetV2,n01582220,3659,n01582220_3659
1731422500.530918,1731422500.5329237,0.0020055770874023,inference_service,n01582220_0.5086004137992859,MobileNetV2,n01582220,4830,n01582220_4830
1731422500.88083,1731422500.8882418,0.0074117183685302,inference_service,n01582220_0.9997426867485046,MobileNetV2,n01582220,5813,n01582220_5813
1731422501.2261057,1731422501.229227,0.0031216144561767,inference_service,n01582220_0.8621366620063782,MobileNetV2,n01582220,6382,n01582220_6382
1731422501.510022,1731422501.5139346,0.0039126873016357,inference_service,n01582220_0.40970370173454285,MobileNetV2,n01582220,3492,n01582220_3492
1731422501.8782687,1731422501.8786464,0.0003776550292968,inference_service,n01582220_0.7716898322105408,MobileNetV2,n01582220,5268,n01582220_5268
1731422502.2031436,1731422502.2053294,0.0021858215332031,inference_service,n01582220_0.7095679044723511,MobileNetV2,n01582220,7231,ILSVRC2012_val_00007231_n01582220
1731422502.5280073,1731422502.530573,0.0025653839111328,inference_service,n01582220_0.8318120241165161,MobileNetV2,n01582220,2545,n01582220_2545
1731422502.885085,1731422502.8864286,0.0013432502746582,inference_service,n01582220_0.9917585253715515,MobileNetV2,n01582220,1491,n01582220_1491
1731422503.2148275,1731422503.2166843,0.0018568038940429,inference_service,n01582220_0.9940177202224731,MobileNetV2,n01582220,8961,n01582220_8961
1731422503.5340762,1731422503.5380616,0.0039854049682617,inference_service,n01582220_0.9645708203315735,MobileNetV2,n01582220,1556,n01582220_1556
1731422503.8517,1731422503.8534129,0.0017127990722656,inference_service,n01582220_0.9534567594528198,MobileNetV2,n01582220,1794,n01582220_1794
1731422504.2073078,1731422504.211008,0.0037002563476562,inference_service,n01582220_0.9361023902893066,MobileNetV2,n01582220,7023,n01582220_7023
1731422504.5484853,1731422504.5507815,0.0022962093353271,inference_service,n01582220_0.3662751317024231,MobileNetV2,n01582220,484,n01582220_484
1731422504.8783572,1731422504.8787203,0.0003631114959716,inference_service,,MobileNetV2,n01582220,9186,n01582220_9186
1731422505.21858,1731422505.222072,0.0034921169281005,inference_service,n01582220_0.9392407536506653,MobileNetV2,n01582220,1548,n01582220_1548
1731422505.565738,1731422505.5687904,0.0030524730682373,inference_service,n01582220_0.8836926221847534,MobileNetV2,n01582220,997,n01582220_997
1731422505.8776784,1731422505.8790023,0.0013239383697509,inference_service,,MobileNetV2,n01582220,14709,n01582220_14709
1731422506.202202,1731422506.2049484,0.0027463436126708,inference_service,n01582220_0.9073054790496826,MobileNetV2,n01582220,4976,n01582220_4976
1731422506.536857,1731422506.541657,0.0048003196716308,inference_service,n01582220_0.877196192741394,MobileNetV2,n01582220,24147,n01582220_24147
1731422506.8798256,1731422506.8824072,0.0025815963745117,inference_service,n01582220_0.8245993256568909,MobileNetV2,n01582220,5854,n01582220_5854
1731422507.2061288,1731422507.2129257,0.0067968368530273,inference_service,n01582220_0.9573874473571777,MobileNetV2,n01582220,5572,n01582220_5572
1731422507.5498831,1731422507.551855,0.0019721984863281,inference_service,,MobileNetV2,n01582220,5567,n01582220_5567
1731422507.8872223,1731422507.8899543,0.0027318000793457,inference_service,n01582220_0.7027576565742493,MobileNetV2,n01582220,8726,n01582220_8726
1731422508.2223585,1731422508.2238483,0.0014898777008056,inference_service,n01582220_0.8221686482429504,MobileNetV2,n01582220,4210,n01582220_4210
1731422508.5555964,1731422508.5562654,0.0006690025329589,inference_service,n01582220_0.9588009715080261,MobileNetV2,n01582220,24044,ILSVRC2012_val_00024044_n01582220
1731422508.8606403,1731422508.8619263,0.0012857913970947,inference_service,n01582220_0.9440037608146667,MobileNetV2,n01582220,5623,n01582220_5623
1731422509.2335536,1731422509.2367492,0.0031955242156982,inference_service,n01582220_0.9233123064041138,MobileNetV2,n01582220,9027,n01582220_9027
1731422509.5631523,1731422509.5639317,0.0007791519165039,inference_service,n01582220_0.38874462246894836,MobileNetV2,n01582220,5103,n01582220_5103
1731422509.8667157,1731422509.8670688,0.0003530979156494,inference_service,n01582220_0.969565749168396,MobileNetV2,n01582220,8818,n01582220_8818
1731422510.215299,1731422510.2155194,0.000220775604248,inference_service,n01582220_0.9564380049705505,MobileNetV2,n01582220,2622,n01582220_2622
1731422510.5470183,1731422510.5473742,0.0003557205200195,inference_service,n01582220_0.9841285943984985,MobileNetV2,n01582220,6143,n01582220_6143
1731422510.84425,1731422510.846086,0.0018360614776611,inference_service,n01582220_0.8211498856544495,MobileNetV2,n01582220,6565,n01582220_6565
1731422511.2083046,1731422511.2101192,0.0018146038055419,inference_service,,MobileNetV2,n01582220,35661,n01582220_35661
1731422511.526471,1731422511.5295217,0.0030508041381835,inference_service,n01582220_0.9865491986274719,MobileNetV2,n01582220,9707,n01582220_9707
1731422511.8902998,1731422511.89061,0.0003101825714111,inference_service,n01582220_0.9317203164100647,MobileNetV2,n01582220,6831,n01582220_6831
1731422512.3159456,1731422512.3190506,0.0031049251556396,inference_service,n01582220_0.881721556186676,MobileNetV2,n01582220,2928,n01582220_2928
