start_time,end_time,response_time,service_name,inference,model_name,label,image_id,file_name
1731574750.1071868,1731574750.9559453,0.8487584590911865,inference_service,n01582220_0.9625788331031799,Xception,n01582220,26114,n01582220_26114
1731574751.463206,1731574752.317454,0.8542478084564209,inference_service,n01582220_0.9612292051315308,Xception,n01582220,35923,n01582220_35923
1731574752.864075,1731574753.7908435,0.9267687797546388,inference_service,n01582220_0.8729120492935181,Xception,n01582220,7114,n01582220_7114
1731574754.2659104,1731574755.204142,0.9382317066192628,inference_service,n01582220_0.968784511089325,Xception,n01582220,1809,n01582220_1809
1731574755.6431167,1731574756.5790725,0.9359557628631592,inference_service,n01582220_0.9039869904518127,Xception,n01582220,6866,n01582220_6866
1731574757.0796463,1731574758.026119,0.9464726448059082,inference_service,n01582220_0.9334970712661743,Xception,n01582220,6276,n01582220_6276
1731574758.465778,1731574759.4279034,0.962125301361084,inference_service,n01582220_0.884509265422821,Xception,n01582220,517,n01582220_517
1731574759.8517492,1731574760.7739148,0.9221656322479248,inference_service,n01582220_0.43517494201660156,Xception,n01582220,4895,n01582220_4895
1731574761.274104,1731574762.1324306,0.8583264350891113,inference_service,n01582220_0.6930953860282898,Xception,n01582220,4950,n01582220_4950
1731574762.679696,1731574763.524155,0.844458818435669,inference_service,n01582220_0.940709114074707,Xception,n01582220,25333,n01582220_25333
1731574764.0724192,1731574765.033954,0.9615349769592284,inference_service,n01582220_0.9306287169456482,Xception,n01582220,5768,n01582220_5768
1731574765.480557,1731574766.4143353,0.9337782859802246,inference_service,n01582220_0.5907882452011108,Xception,n01582220,359,n01582220_359
1731574766.8689704,1731574767.8099775,0.941007137298584,inference_service,n01582220_0.9235922694206238,Xception,n01582220,6980,n01582220_6980
1731574768.2881932,1731574769.2223227,0.9341294765472412,inference_service,n01582220_0.6164646148681641,Xception,n01582220,32562,n01582220_32562
1731574769.6717503,1731574770.5993166,0.9275660514831544,inference_service,n01582220_0.9374357461929321,Xception,n01582220,34111,n01582220_34111
1731574771.0728364,1731574772.0138004,0.9409639835357666,inference_service,n01582220_0.8608752489089966,Xception,n01582220,11503,n01582220_11503
1731574772.4367611,1731574773.3045783,0.8678171634674072,inference_service,n01582220_0.8598256707191467,Xception,n01582220,4777,n01582220_4777
1731574773.863263,1731574774.7375622,0.8742992877960205,inference_service,n01582220_0.7001484036445618,Xception,n01582220,1287,n01582220_1287
1731574775.260194,1731574776.1773376,0.9171435832977296,inference_service,n01582220_0.8945505023002625,Xception,n01582220,2905,n01582220_2905
1731574776.6588771,1731574777.5807052,0.921828031539917,inference_service,n01582220_0.9335569739341736,Xception,n01582220,33893,n01582220_33893
1731574778.0514567,1731574778.9977982,0.9463415145874025,inference_service,n01582220_0.6887201070785522,Xception,n01582220,11320,n01582220_11320
1731574779.4680388,1731574780.453329,0.9852902889251708,inference_service,n01582220_0.9122858643531799,Xception,n01582220,9200,n01582220_9200
1731574780.8802266,1731574781.826765,0.9465384483337402,inference_service,n01582220_0.7650217413902283,Xception,n01582220,11073,n01582220_11073
1731574782.288224,1731574783.2165022,0.9282782077789308,inference_service,n01582220_0.4149227738380432,Xception,n01582220,4885,n01582220_4885
1731574783.6719246,1731574784.544735,0.8728103637695312,inference_service,n01582220_0.9333688020706177,Xception,n01582220,5044,n01582220_5044
1731574785.0719645,1731574785.971216,0.8992514610290527,inference_service,n01582220_0.9703559875488281,Xception,n01582220,6876,n01582220_6876
1731574786.4800477,1731574787.3437932,0.8637454509735107,inference_service,n01582220_0.7791321873664856,Xception,n01582220,210,n01582220_210
1731574787.871869,1731574788.8644283,0.9925594329833984,inference_service,n01582220_0.9739963412284851,Xception,n01582220,2239,n01582220_2239
1731574789.2656367,1731574790.2186975,0.9530608654022216,inference_service,n01582220_0.9849105477333069,Xception,n01582220,6453,n01582220_6453
1731574790.686969,1731574791.6253388,0.9383697509765624,inference_service,n01582220_0.9514558911323547,Xception,n01582220,3192,n01582220_3192
1731574792.0836897,1731574793.0410717,0.9573819637298584,inference_service,n01582220_0.5201654434204102,Xception,n01582220,3885,n01582220_3885
1731574793.4784093,1731574794.431224,0.9528145790100098,inference_service,,Xception,n01582220,4562,n01582220_4562
1731574794.8710585,1731574795.774289,0.9032301902770996,inference_service,n01582220_0.9429430365562439,Xception,n01582220,10651,n01582220_10651
1731574796.2742283,1731574797.1617725,0.8875441551208496,inference_service,n01582220_0.91756272315979,Xception,n01582220,6240,n01582220_6240
