file_name,label
n01582220_26114,n01582220
n01582220_35923,n01582220
n01582220_7114,n01582220
n01582220_1809,n01582220
n01582220_6866,n01582220
n01582220_6276,n01582220
n01582220_517,n01582220
n01582220_4895,n01582220
n01582220_4950,n01582220
n01582220_25333,n01582220
n01582220_5768,n01582220
n01582220_359,n01582220
n01582220_6980,n01582220
n01582220_32562,n01582220
n01582220_34111,n01582220
n01582220_11503,n01582220
n01582220_4777,n01582220
n01582220_1287,n01582220
n01582220_2905,n01582220
n01582220_33893,n01582220
n01582220_11320,n01582220
n01582220_9200,n01582220
n01582220_11073,n01582220
n01582220_4885,n01582220
n01582220_5044,n01582220
n01582220_6876,n01582220
n01582220_210,n01582220
n01582220_2239,n01582220
n01582220_6453,n01582220
n01582220_3192,n01582220
n01582220_3885,n01582220
n01582220_4562,n01582220
n01582220_10651,n01582220
n01582220_6240,n01582220
n01582220_352,n01582220
n01582220_1568,n01582220
ILSVRC2012_val_00017648_n01582220,n01582220
n01582220_11041,n01582220
n01582220_2365,n01582220
n01582220_5931,n01582220
n01582220_1798,n01582220
n01582220_500,n01582220
n01582220_13036,n01582220
n01582220_34628,n01582220
n01582220_4053,n01582220
n01582220_3195,n01582220
n01582220_8843,n01582220
n01582220_704,n01582220
n01582220_37294,n01582220
n01582220_3205,n01582220
n01582220_5660,n01582220
n01582220_1665,n01582220
n01582220_7513,n01582220
n01582220_6039,n01582220
n01582220_11238,n01582220
n01582220_4371,n01582220
n01582220_6460,n01582220
n01582220_2987,n01582220
n01582220_4127,n01582220
n01582220_797,n01582220
n01582220_337,n01582220
n01582220_3659,n01582220
n01582220_4830,n01582220
n01582220_5813,n01582220
n01582220_6382,n01582220
n01582220_3492,n01582220
n01582220_5268,n01582220
ILSVRC2012_val_00007231_n01582220,n01582220
n01582220_2545,n01582220
n01582220_1491,n01582220
n01582220_8961,n01582220
n01582220_1556,n01582220
n01582220_1794,n01582220
n01582220_7023,n01582220
n01582220_484,n01582220
n01582220_9186,n01582220
n01582220_1548,n01582220
n01582220_997,n01582220
n01582220_14709,n01582220
n01582220_4976,n01582220
n01582220_24147,n01582220
n01582220_5854,n01582220
n01582220_5572,n01582220
n01582220_5567,n01582220
n01582220_8726,n01582220
n01582220_4210,n01582220
ILSVRC2012_val_00024044_n01582220,n01582220
n01582220_5623,n01582220
n01582220_9027,n01582220
n01582220_5103,n01582220
n01582220_8818,n01582220
n01582220_2622,n01582220
n01582220_6143,n01582220
n01582220_6565,n01582220
n01582220_35661,n01582220
n01582220_9707,n01582220
n01582220_6831,n01582220
n01582220_2928,n01582220
n01582220_5803,n01582220
n01582220_5051,n01582220
n01582220_10072,n01582220
n01582220_4708,n01582220
n01582220_10052,n01582220
n01582220_288,n01582220
n01582220_23521,n01582220
n01582220_3999,n01582220
n01582220_10375,n01582220
n01582220_25707,n01582220
n01582220_9336,n01582220
n01582220_5316,n01582220
n01582220_3711,n01582220
n01582220_11085,n01582220
n01582220_3298,n01582220
n01582220_8926,n01582220
n01582220_10385,n01582220
n01582220_9921,n01582220
n01582220_10583,n01582220
ILSVRC2012_val_00037436_n01582220,n01582220
n01582220_2783,n01582220
n01582220_11253,n01582220
n01582220_454,n01582220
n01582220_6131,n01582220
n01582220_8800,n01582220
n01582220_9920,n01582220
n01582220_7944,n01582220
n01582220_10843,n01582220
n01582220_5679,n01582220
n01582220_7212,n01582220
n01582220_716,n01582220
n01582220_3179,n01582220
n01582220_6159,n01582220
n01582220_4577,n01582220
n01582220_8739,n01582220
n01582220_10279,n01582220
n01582220_10794,n01582220
n01582220_5562,n01582220
n01582220_10028,n01582220
n01582220_1132,n01582220
n01582220_3174,n01582220
n01582220_20100,n01582220
n01582220_468,n01582220
n01582220_10187,n01582220
n01582220_5108,n01582220
n01582220_10158,n01582220
n01582220_6783,n01582220
n01582220_25789,n01582220
n01582220_5537,n01582220
n01582220_5126,n01582220
n01582220_4727,n01582220
n01582220_6235,n01582220
n01582220_333,n01582220
n01582220_2194,n01582220
n01582220_7686,n01582220
n01582220_5497,n01582220
n01582220_14594,n01582220
n01582220_8379,n01582220
n01582220_1131,n01582220
n01582220_2609,n01582220
n01582220_4348,n01582220
n01582220_2720,n01582220
n01582220_10412,n01582220
n01582220_7366,n01582220
n01582220_19346,n01582220
n01582220_11619,n01582220
n01582220_9489,n01582220
n01582220_9278,n01582220
n01582220_9711,n01582220
n01582220_23780,n01582220
n01582220_4126,n01582220
n01582220_11,n01582220
n01582220_9314,n01582220
n01582220_10039,n01582220
n01582220_1140,n01582220
n01582220_5249,n01582220
n01582220_9114,n01582220
n01582220_7342,n01582220
n01582220_9259,n01582220
n01582220_16166,n01582220
ILSVRC2012_val_00041135_n01582220,n01582220
n01582220_29360,n01582220
n01582220_10309,n01582220
n01582220_8459,n01582220
n01582220_5597,n01582220
n01582220_6801,n01582220
n01582220_691,n01582220
n01582220_3006,n01582220
n01582220_5870,n01582220
n01582220_7220,n01582220
n01582220_3089,n01582220
n01582220_1827,n01582220
n01582220_8146,n01582220
n01582220_3572,n01582220
n01582220_5050,n01582220
n01582220_8434,n01582220
n01582220_8957,n01582220
n01582220_8326,n01582220
n01582220_2769,n01582220
n01582220_8934,n01582220
n01582220_9220,n01582220
n01582220_6552,n01582220
n01582220_6179,n01582220
n01582220_5790,n01582220
n01582220_2791,n01582220
n01582220_9219,n01582220
n01582220_4230,n01582220
n01582220_10405,n01582220
n01582220_3434,n01582220
n01582220_28688,n01582220
n01582220_1580,n01582220
n01582220_5256,n01582220
n01582220_2759,n01582220
n01582220_20627,n01582220
n01582220_5240,n01582220
n01582220_234,n01582220
n01582220_5046,n01582220
n01582220_4303,n01582220
n01582220_29424,n01582220
n01582220_19217,n01582220
n01582220_2400,n01582220
n01582220_760,n01582220
n01582220_25900,n01582220
n01582220_9686,n01582220
n01582220_1953,n01582220
n01582220_5993,n01582220
n01582220_5239,n01582220
n01582220_9942,n01582220
n01582220_4985,n01582220
n01582220_29802,n01582220
ILSVRC2012_val_00025806_n01582220,n01582220
n01582220_555,n01582220
n01582220_38434,n01582220
n01582220_10045,n01582220
n01582220_5125,n01582220
n01582220_9634,n01582220
n01582220_2254,n01582220
n01582220_2854,n01582220
n01582220_5272,n01582220
n01582220_9477,n01582220
n01582220_936,n01582220
n01582220_6746,n01582220
n01582220_4767,n01582220
n01582220_549,n01582220
n01582220_4155,n01582220
n01582220_2564,n01582220
n01582220_9053,n01582220
ILSVRC2012_val_00008347_n01582220,n01582220
n01582220_1721,n01582220
n01582220_21438,n01582220
n01582220_23251,n01582220
ILSVRC2012_val_00004559_n01582220,n01582220
n01582220_1202,n01582220
n01582220_5765,n01582220
n01582220_7404,n01582220
n01582220_6053,n01582220
n01582220_134,n01582220
n01582220_6916,n01582220
n01582220_33707,n01582220
n01582220_9596,n01582220
n01582220_5685,n01582220
n01582220_2200,n01582220
n01582220_2072,n01582220
n01582220_10533,n01582220
n01582220_6910,n01582220
n01582220_14199,n01582220
n01582220_3748,n01582220
n01582220_13405,n01582220
ILSVRC2012_val_00044192_n01582220,n01582220
n01582220_9739,n01582220
ILSVRC2012_val_00032667_n01582220,n01582220
ILSVRC2012_val_00044507_n01582220,n01582220
n01582220_5968,n01582220
n01582220_32445,n01582220
n01582220_8846,n01582220
n01582220_7042,n01582220
n01582220_14023,n01582220
n01582220_11441,n01582220
n01582220_3728,n01582220
n01582220_5831,n01582220
n01582220_4733,n01582220
n01582220_3769,n01582220
n01582220_34865,n01582220
n01582220_5452,n01582220
n01582220_282,n01582220
n01582220_9421,n01582220
n01582220_455,n01582220
n01582220_10315,n01582220
n01582220_470,n01582220
n01582220_18043,n01582220
n01582220_11535,n01582220
n01582220_10596,n01582220
n01582220_9649,n01582220
ILSVRC2012_val_00011501_n01582220,n01582220
n01582220_8027,n01582220
n01582220_3512,n01582220
n01582220_5766,n01582220
n01582220_10356,n01582220
n01582220_9817,n01582220
n01582220_3372,n01582220
n01582220_7197,n01582220
n01582220_5698,n01582220
n01582220_992,n01582220
n01582220_8901,n01582220
n01582220_3895,n01582220
n01582220_35309,n01582220
n01582220_10765,n01582220
n01582220_671,n01582220
n01582220_4661,n01582220
n01582220_4078,n01582220
n01582220_242,n01582220
n01582220_1586,n01582220
n01582220_4283,n01582220
n01582220_1567,n01582220
n01582220_1318,n01582220
n01582220_5775,n01582220
n01582220_3011,n01582220
n01582220_8609,n01582220
n01582220_6799,n01582220
n01582220_2709,n01582220
n01582220_126,n01582220
n01582220_8674,n01582220
n01582220_305,n01582220
