start_time,end_time,response_time,service_name,inference,model_name,label,image_id,file_name
1731574750.088719,1731574750.0896125,0.0008938312530517,inference_service,n01582220_0.9329690337181091,EfficientNetB0,n01582220,26114,n01582220_26114
1731574751.4515398,1731574751.452524,0.0009841918945312,inference_service,n01582220_0.4152683615684509,EfficientNetB0,n01582220,35923,n01582220_35923
1731574752.8517478,1731574752.8535385,0.0017905235290527,inference_service,n01582220_0.9182053804397583,EfficientNetB0,n01582220,7114,n01582220_7114
1731574754.261528,1731574754.2625668,0.0010387897491455,inference_service,n01582220_0.9720579385757446,EfficientNetB0,n01582220,1809,n01582220_1809
1731574755.633731,1731574755.634722,0.0009911060333251,inference_service,n01582220_0.9777048826217651,EfficientNetB0,n01582220,6866,n01582220_6866
1731574757.0605044,1731574757.061381,0.0008766651153564,inference_service,n01582220_0.9116531014442444,EfficientNetB0,n01582220,6276,n01582220_6276
1731574758.457546,1731574758.458484,0.0009379386901855,inference_service,n01582220_0.8215792775154114,EfficientNetB0,n01582220,517,n01582220_517
1731574759.8483589,1731574759.8494,0.0010411739349365,inference_service,,EfficientNetB0,n01582220,4895,n01582220_4895
1731574761.261883,1731574761.2650905,0.0032074451446533,inference_service,n01806567_0.3459304869174957,EfficientNetB0,n01582220,4950,n01582220_4950
1731574762.6618786,1731574762.6640236,0.0021450519561767,inference_service,n01582220_0.9251106977462769,EfficientNetB0,n01582220,25333,n01582220_25333
1731574764.0542877,1731574764.057335,0.003047227859497,inference_service,,EfficientNetB0,n01582220,5768,n01582220_5768
1731574765.4672585,1731574765.46883,0.0015714168548583,inference_service,n02018207_0.36126938462257385,EfficientNetB0,n01582220,359,n01582220_359
1731574766.856351,1731574766.8582249,0.0018739700317382,inference_service,n01582220_0.8424116373062134,EfficientNetB0,n01582220,6980,n01582220_6980
1731574768.266527,1731574768.267425,0.0008981227874755,inference_service,n01582220_0.8222739696502686,EfficientNetB0,n01582220,32562,n01582220_32562
1731574769.6564834,1731574769.6576118,0.0011284351348876,inference_service,n01582220_0.8709534406661987,EfficientNetB0,n01582220,34111,n01582220_34111
1731574771.0530598,1731574771.0538712,0.0008113384246826,inference_service,n01582220_0.8962737917900085,EfficientNetB0,n01582220,11503,n01582220_11503
1731574772.4350808,1731574772.436144,0.0010633468627929,inference_service,n01582220_0.5547206997871399,EfficientNetB0,n01582220,4777,n01582220_4777
1731574773.8505733,1731574773.8516672,0.0010938644409179,inference_service,,EfficientNetB0,n01582220,1287,n01582220_1287
1731574775.2492142,1731574775.2501867,0.0009725093841552,inference_service,n01582220_0.878054141998291,EfficientNetB0,n01582220,2905,n01582220_2905
1731574776.654054,1731574776.6561108,0.0020568370819091,inference_service,n01582220_0.6004227995872498,EfficientNetB0,n01582220,33893,n01582220_33893
1731574778.046494,1731574778.0483823,0.0018885135650634,inference_service,n01582220_0.8966423273086548,EfficientNetB0,n01582220,11320,n01582220_11320
1731574779.468662,1731574779.4710135,0.0023515224456787,inference_service,,EfficientNetB0,n01582220,9200,n01582220_9200
1731574780.8653836,1731574780.8664322,0.0010485649108886,inference_service,n01582220_0.5777174830436707,EfficientNetB0,n01582220,11073,n01582220_11073
1731574782.2672515,1731574782.268841,0.001589298248291,inference_service,,EfficientNetB0,n01582220,4885,n01582220_4885
1731574783.671817,1731574783.673689,0.0018715858459472,inference_service,n01582220_0.7622337937355042,EfficientNetB0,n01582220,5044,n01582220_5044
1731574785.0689778,1731574785.0708256,0.0018477439880371,inference_service,n01582220_0.9213287234306335,EfficientNetB0,n01582220,6876,n01582220_6876
1731574786.4631677,1731574786.4650047,0.0018370151519775,inference_service,n01582220_0.4807965159416199,EfficientNetB0,n01582220,210,n01582220_210
1731574787.866192,1731574787.8672218,0.0010299682617187,inference_service,n01582220_0.9540336728096008,EfficientNetB0,n01582220,2239,n01582220_2239
1731574789.2489302,1731574789.249926,0.0009956359863281,inference_service,n01582220_0.7040122747421265,EfficientNetB0,n01582220,6453,n01582220_6453
1731574790.672726,1731574790.6737926,0.0010666847229003,inference_service,n01582220_0.36339300870895386,EfficientNetB0,n01582220,3192,n01582220_3192
1731574792.0656586,1731574792.0683684,0.0027098655700683,inference_service,n01582220_0.3911098837852478,EfficientNetB0,n01582220,3885,n01582220_3885
1731574793.4711442,1731574793.472262,0.0011177062988281,inference_service,,EfficientNetB0,n01582220,4562,n01582220_4562
