start_time,end_time,response_time,service_name,inference,model_name,label,image_id,file_name
1731422479.8190317,1731422479.8197446,0.0007128715515136,inference_service,n01582220_0.9295790791511536,NASNetMobile,n01582220,26114,n01582220_26114
1731422480.1874883,1731422480.1890888,0.0016005039215087,inference_service,n01582220_0.9375007748603821,NASNetMobile,n01582220,35923,n01582220_35923
1731422480.5567253,1731422480.5606887,0.0039634704589843,inference_service,n01582220_0.9157519936561584,NASNetMobile,n01582220,7114,n01582220_7114
1731422480.842954,1731422480.8436816,0.0007276535034179,inference_service,n01582220_0.906238853931427,NASNetMobile,n01582220,1809,n01582220_1809
1731422481.160438,1731422481.1633189,0.0028808116912841,inference_service,n01582220_0.9087052345275879,NASNetMobile,n01582220,6866,n01582220_6866
1731422481.4953446,1731422481.497201,0.0018563270568847,inference_service,n01582220_0.942060112953186,NASNetMobile,n01582220,6276,n01582220_6276
1731422481.8363469,1731422481.8378642,0.0015172958374023,inference_service,n01582220_0.9262889623641968,NASNetMobile,n01582220,517,n01582220_517
1731422482.1601443,1731422482.1614842,0.0013399124145507,inference_service,n02510455_0.35830551385879517,NASNetMobile,n01582220,4895,n01582220_4895
1731422482.4931293,1731422482.497192,0.0040628910064697,inference_service,n01795545_0.3062726855278015_n02017213_0.40936586260795593,NASNetMobile,n01582220,4950,n01582220_4950
1731422482.8342257,1731422482.835331,0.0011053085327148,inference_service,n01582220_0.9230603575706482,NASNetMobile,n01582220,25333,n01582220_25333
1731422483.157781,1731422483.1593072,0.0015263557434082,inference_service,n01582220_0.9457495212554932,NASNetMobile,n01582220,5768,n01582220_5768
1731422483.499464,1731422483.5025475,0.0030837059020996,inference_service,n01582220_0.6892173886299133,NASNetMobile,n01582220,359,n01582220_359
1731422483.7954135,1731422483.800596,0.0051825046539306,inference_service,n01582220_0.9677697420120239,NASNetMobile,n01582220,6980,n01582220_6980
1731422484.1757724,1731422484.1772952,0.0015227794647216,inference_service,n01582220_0.903968870639801,NASNetMobile,n01582220,32562,n01582220_32562
1731422484.4723482,1731422484.4763207,0.0039725303649902,inference_service,n01582220_0.919204831123352,NASNetMobile,n01582220,34111,n01582220_34111
1731422484.8278203,1731422484.8310907,0.0032703876495361,inference_service,n01582220_0.9224209785461426,NASNetMobile,n01582220,11503,n01582220_11503
1731422485.1621711,1731422485.1635945,0.0014233589172363,inference_service,n01582220_0.7656459808349609,NASNetMobile,n01582220,4777,n01582220_4777
1731422485.5193288,1731422485.5196042,0.0002753734588623,inference_service,n01582220_0.48390334844589233,NASNetMobile,n01582220,1287,n01582220_1287
1731422485.8564448,1731422485.857971,0.0015261173248291,inference_service,n01582220_0.8377821445465088,NASNetMobile,n01582220,2905,n01582220_2905
1731422486.1661518,1731422486.16809,0.0019381046295166,inference_service,n01582220_0.8998197317123413,NASNetMobile,n01582220,33893,n01582220_33893
1731422486.5195718,1731422486.5207846,0.0012128353118896,inference_service,n01582220_0.9175000190734863,NASNetMobile,n01582220,11320,n01582220_11320
1731422486.876676,1731422486.877807,0.0011308193206787,inference_service,n01582220_0.8748779296875,NASNetMobile,n01582220,9200,n01582220_9200
1731422487.1820984,1731422487.1832323,0.0011341571807861,inference_service,n01582220_0.44413769245147705,NASNetMobile,n01582220,11073,n01582220_11073
1731422487.5249815,1731422487.527892,0.0029101371765136,inference_service,n02172182_0.7384640574455261,NASNetMobile,n01582220,4885,n01582220_4885
1731422487.8447037,1731422487.8477492,0.0030455589294433,inference_service,n01582220_0.8535825610160828,NASNetMobile,n01582220,5044,n01582220_5044
1731422488.1773422,1731422488.178677,0.0013349056243896,inference_service,n01582220_0.9232010245323181,NASNetMobile,n01582220,6876,n01582220_6876
1731422488.491331,1731422488.4926538,0.0013227462768554,inference_service,n01582220_0.931330680847168,NASNetMobile,n01582220,210,n01582220_210
1731422488.7851503,1731422488.7873757,0.0022249221801757,inference_service,n01582220_0.9672302603721619,NASNetMobile,n01582220,2239,n01582220_2239
1731422489.1849008,1731422489.1861398,0.0012390613555908,inference_service,n01582220_0.7788424491882324,NASNetMobile,n01582220,6453,n01582220_6453
1731422489.5153563,1731422489.5165515,0.0011954307556152,inference_service,n01580077_0.9243636131286621,NASNetMobile,n01582220,3192,n01582220_3192
1731422489.8370788,1731422489.8399787,0.0028998851776123,inference_service,n01582220_0.9424442648887634,NASNetMobile,n01582220,3885,n01582220_3885
1731422490.1804874,1731422490.1818163,0.0013289451599121,inference_service,n01582220_0.930874764919281,NASNetMobile,n01582220,4562,n01582220_4562
1731422490.5120628,1731422490.5131884,0.0011255741119384,inference_service,n01582220_0.9269049167633057,NASNetMobile,n01582220,10651,n01582220_10651
1731422490.8622692,1731422490.865937,0.0036678314208984,inference_service,n01582220_0.8849074840545654,NASNetMobile,n01582220,6240,n01582220_6240
1731422491.1616635,1731422491.1637275,0.0020639896392822,inference_service,n01582220_0.9419065117835999,NASNetMobile,n01582220,352,n01582220_352
1731422491.51496,1731422491.517868,0.0029079914093017,inference_service,n01582220_0.9005395770072937,NASNetMobile,n01582220,1568,n01582220_1568
1731422491.8684947,1731422491.8700626,0.0015678405761718,inference_service,n01582220_0.8330037593841553,NASNetMobile,n01582220,17648,ILSVRC2012_val_00017648_n01582220
1731422492.1959505,1731422492.1974945,0.0015439987182617,inference_service,n01582220_0.8708643913269043,NASNetMobile,n01582220,11041,n01582220_11041
