start_time,end_time,response_time,service_name,inference,model_name,label,image_id,file_name
1731432814.686978,1731432814.689193,0.0022151470184326,inference_service,n01582220_0.9999988079071045,ResNet50V2,n01582220,26114,n01582220_26114
1731432815.2270854,1731432815.2287743,0.0016891956329345,inference_service,n01582220_0.9998787641525269,ResNet50V2,n01582220,35923,n01582220_35923
1731432815.7229128,1731432815.726312,0.0033991336822509,inference_service,n01582220_0.9999995231628418,ResNet50V2,n01582220,7114,n01582220_7114
1731432816.2155776,1731432816.2168307,0.0012531280517578,inference_service,n01582220_0.9973998069763184,ResNet50V2,n01582220,1809,n01582220_1809
1731432816.7024176,1731432816.7070403,0.0046226978302001,inference_service,n01582220_0.9995444416999817,ResNet50V2,n01582220,6866,n01582220_6866
1731432817.2321212,1731432817.2324874,0.0003662109375,inference_service,n01582220_1.0,ResNet50V2,n01582220,6276,n01582220_6276
1731432817.71921,1731432817.7208753,0.0016653537750244,inference_service,n01582220_0.9998878240585327,ResNet50V2,n01582220,517,n01582220_517
1731432818.2000349,1731432818.2053423,0.0053076744079589,inference_service,,ResNet50V2,n01582220,4895,n01582220_4895
1731432818.7156389,1731432818.716908,0.0012691020965576,inference_service,n01537544_0.8199007511138916,ResNet50V2,n01582220,4950,n01582220_4950
1731432819.2012663,1731432819.2045832,0.0033168792724609,inference_service,n01582220_0.999953031539917,ResNet50V2,n01582220,25333,n01582220_25333
1731432819.684512,1731432819.6848705,0.0003585815429687,inference_service,n01582220_0.6955487132072449,ResNet50V2,n01582220,5768,n01582220_5768
1731432820.21281,1731432820.2155852,0.0027751922607421,inference_service,n01582220_0.7900515198707581,ResNet50V2,n01582220,359,n01582220_359
1731432820.7461123,1731432820.7462752,0.0001628398895263,inference_service,n01560419_0.4880481958389282_n01582220_0.4912225306034088,ResNet50V2,n01582220,6980,n01582220_6980
1731432821.246689,1731432821.2479694,0.0012800693511962,inference_service,n01582220_0.9850723147392273,ResNet50V2,n01582220,32562,n01582220_32562
1731432821.7235162,1731432821.7272456,0.0037293434143066,inference_service,n01582220_0.999915599822998,ResNet50V2,n01582220,34111,n01582220_34111
1731432822.2393382,1731432822.240914,0.0015757083892822,inference_service,n01582220_0.9999784231185913,ResNet50V2,n01582220,11503,n01582220_11503
1731432822.7473009,1731432822.7488854,0.0015845298767089,inference_service,n01582220_0.9967619180679321,ResNet50V2,n01582220,4777,n01582220_4777
1731432823.2381294,1731432823.2414896,0.0033602714538574,inference_service,n01580077_0.5991450548171997_n01582220_0.36074864864349365,ResNet50V2,n01582220,1287,n01582220_1287
1731432823.7511165,1731432823.755366,0.0042495727539062,inference_service,n01582220_0.9999665021896362,ResNet50V2,n01582220,2905,n01582220_2905
1731432824.226331,1731432824.2296214,0.0032904148101806,inference_service,n01582220_0.9982554316520691,ResNet50V2,n01582220,33893,n01582220_33893
1731432824.7023768,1731432824.7039788,0.0016019344329833,inference_service,n01582220_0.9999675750732422,ResNet50V2,n01582220,11320,n01582220_11320
1731432825.233084,1731432825.2339013,0.0008172988891601,inference_service,n01582220_0.9756895303726196,ResNet50V2,n01582220,9200,n01582220_9200
1731432825.7281337,1731432825.731803,0.003669261932373,inference_service,n01582220_0.9723631739616394,ResNet50V2,n01582220,11073,n01582220_11073
1731432826.229498,1731432826.2297273,0.0002293586730957,inference_service,n02172182_0.30298182368278503_n02445715_0.41477566957473755,ResNet50V2,n01582220,4885,n01582220_4885
1731432826.7208123,1731432826.726513,0.0057005882263183,inference_service,n01582220_0.9997634291648865,ResNet50V2,n01582220,5044,n01582220_5044
1731432827.2229064,1731432827.224485,0.0015785694122314,inference_service,n01582220_0.999998927116394,ResNet50V2,n01582220,6876,n01582220_6876
1731432827.7279897,1731432827.7313027,0.0033130645751953,inference_service,n01582220_0.9999490976333618,ResNet50V2,n01582220,210,n01582220_210
1731432828.2210584,1731432828.2246444,0.0035860538482666,inference_service,n01582220_0.9999872446060181,ResNet50V2,n01582220,2239,n01582220_2239
1731432828.7459474,1731432828.7491806,0.0032331943511962,inference_service,n02219486_0.8645853996276855,ResNet50V2,n01582220,6453,n01582220_6453
1731432829.2391105,1731432829.2438543,0.0047440528869628,inference_service,n01580077_0.9675005674362183,ResNet50V2,n01582220,3192,n01582220_3192
1731432829.7224047,1731432829.723994,0.001589298248291,inference_service,n01582220_0.9999160766601562,ResNet50V2,n01582220,3885,n01582220_3885
1731432830.2646365,1731432830.2679708,0.0033345222473144,inference_service,n01582220_0.6438385248184204,ResNet50V2,n01582220,4562,n01582220_4562
1731432830.7270496,1731432830.7309391,0.0038895606994628,inference_service,n01582220_0.9999840259552002,ResNet50V2,n01582220,10651,n01582220_10651
1731432831.2258775,1731432831.2287369,0.002859354019165,inference_service,n01582220_0.9995027780532837,ResNet50V2,n01582220,6240,n01582220_6240
1731432831.7465477,1731432831.7475934,0.0010457038879394,inference_service,n01582220_0.9899146556854248,ResNet50V2,n01582220,352,n01582220_352
1731432832.2332098,1731432832.2360606,0.0028507709503173,inference_service,n01582220_0.9999737739562988,ResNet50V2,n01582220,1568,n01582220_1568
1731432832.7469633,1731432832.7484624,0.0014991760253906,inference_service,n01582220_0.49217379093170166_n01829413_0.4280698597431183,ResNet50V2,n01582220,17648,ILSVRC2012_val_00017648_n01582220
1731432833.2261992,1731432833.229658,0.0034589767456054,inference_service,n01582220_0.9977431297302246,ResNet50V2,n01582220,11041,n01582220_11041
1731432833.7509644,1731432833.7551842,0.0042197704315185,inference_service,n01582220_0.9976617097854614,ResNet50V2,n01582220,2365,n01582220_2365
1731432834.230264,1731432834.2339418,0.0036778450012207,inference_service,,ResNet50V2,n01582220,5931,n01582220_5931
1731432834.7145307,1731432834.7157106,0.0011799335479736,inference_service,n01582220_0.9983893632888794,ResNet50V2,n01582220,1798,n01582220_1798
1731432835.2192705,1731432835.2232528,0.0039823055267333,inference_service,n01582220_0.9999575614929199,ResNet50V2,n01582220,500,n01582220_500
1731432835.7489855,1731432835.750554,0.0015685558319091,inference_service,n01582220_0.9999932050704956,ResNet50V2,n01582220,13036,n01582220_13036
1731432836.2338047,1731432836.2366965,0.0028917789459228,inference_service,n01582220_0.9958154559135437,ResNet50V2,n01582220,34628,n01582220_34628
1731432836.7454543,1731432836.7484174,0.0029630661010742,inference_service,n01582220_0.997771143913269,ResNet50V2,n01582220,4053,n01582220_4053
1731432837.263497,1731432837.2650914,0.0015943050384521,inference_service,n01582220_0.9999905824661255,ResNet50V2,n01582220,3195,n01582220_3195
1731432837.7559483,1731432837.7595618,0.0036134719848632,inference_service,n01582220_0.9732752442359924,ResNet50V2,n01582220,8843,n01582220_8843
1731432838.247503,1731432838.2519994,0.0044963359832763,inference_service,n01582220_0.7153355479240417,ResNet50V2,n01582220,704,n01582220_704
1731432838.7515297,1731432838.7531292,0.0015997886657714,inference_service,n01582220_0.7604719996452332,ResNet50V2,n01582220,37294,n01582220_37294
1731432839.236295,1731432839.239791,0.0034959316253662,inference_service,n01582220_0.9995500445365906,ResNet50V2,n01582220,3205,n01582220_3205
1731432839.7402785,1731432839.743794,0.0035154819488525,inference_service,n01582220_0.9999265670776367,ResNet50V2,n01582220,5660,n01582220_5660
1731432840.2449584,1731432840.2460704,0.0011119842529296,inference_service,n01582220_0.977903425693512,ResNet50V2,n01582220,1665,n01582220_1665
1731432840.707414,1731432840.710698,0.0032839775085449,inference_service,n01582220_0.9999291896820068,ResNet50V2,n01582220,7513,n01582220_7513
1731432841.248857,1731432841.2520535,0.0031964778900146,inference_service,n01614925_0.5945901274681091_n01616318_0.38920092582702637,ResNet50V2,n01582220,6039,n01582220_6039
1731432841.8175485,1731432841.817691,0.0001428127288818,inference_service,n01582220_0.9963789582252502,ResNet50V2,n01582220,11238,n01582220_11238
1731432842.2394338,1731432842.243009,0.003575325012207,inference_service,n01582220_0.380018025636673_n01592084_0.4018961191177368,ResNet50V2,n01582220,4371,n01582220_4371
1731432842.7390783,1731432842.740364,0.0012857913970947,inference_service,n01582220_0.9996086955070496,ResNet50V2,n01582220,6460,n01582220_6460
1731432843.2120166,1731432843.2148015,0.0027849674224853,inference_service,n01795545_0.6836724877357483,ResNet50V2,n01582220,2987,n01582220_2987
1731432843.7172408,1731432843.7200215,0.0027806758880615,inference_service,n01582220_0.9998297691345215,ResNet50V2,n01582220,4127,n01582220_4127
1731432844.2285688,1731432844.2316182,0.0030493736267089,inference_service,n01582220_0.9987865090370178,ResNet50V2,n01582220,797,n01582220_797
1731432844.7717483,1731432844.7721305,0.0003821849822998,inference_service,,ResNet50V2,n01582220,337,n01582220_337
1731432845.257137,1731432845.2615216,0.0043845176696777,inference_service,n01582220_0.9999994039535522,ResNet50V2,n01582220,3659,n01582220_3659
1731432845.7639115,1731432845.76694,0.0030286312103271,inference_service,n01582220_0.5817528367042542,ResNet50V2,n01582220,4830,n01582220_4830
1731432846.2607644,1731432846.2619948,0.0012304782867431,inference_service,n01582220_0.9999866485595703,ResNet50V2,n01582220,5813,n01582220_5813
1731432846.7510204,1731432846.7528963,0.001875877380371,inference_service,n01582220_0.39336439967155457_n01795545_0.5708939433097839,ResNet50V2,n01582220,6382,n01582220_6382
1731432847.2677133,1731432847.272715,0.0050017833709716,inference_service,n01582220_0.8396095037460327,ResNet50V2,n01582220,3492,n01582220_3492
1731432847.7721286,1731432847.773597,0.0014684200286865,inference_service,n01582220_0.999422550201416,ResNet50V2,n01582220,5268,n01582220_5268
1731432848.2341623,1731432848.237985,0.0038223266601562,inference_service,n01582220_0.99953293800354,ResNet50V2,n01582220,7231,ILSVRC2012_val_00007231_n01582220
1731432848.7610357,1731432848.7638395,0.0028038024902343,inference_service,n01582220_0.9996520280838013,ResNet50V2,n01582220,2545,n01582220_2545
1731432849.2530882,1731432849.257063,0.0039746761322021,inference_service,n01582220_0.9928850531578064,ResNet50V2,n01582220,1491,n01582220_1491
1731432849.7567918,1731432849.757022,0.000230073928833,inference_service,n01582220_0.9998781681060791,ResNet50V2,n01582220,8961,n01582220_8961
1731432850.1958177,1731432850.1992657,0.0034482479095458,inference_service,n01582220_0.9999547004699707,ResNet50V2,n01582220,1556,n01582220_1556
1731432850.7421608,1731432850.7456183,0.0034575462341308,inference_service,n01582220_0.9999980926513672,ResNet50V2,n01582220,1794,n01582220_1794
1731432851.234038,1731432851.2347724,0.0007343292236328,inference_service,n01582220_0.8861982226371765,ResNet50V2,n01582220,7023,n01582220_7023
1731432851.736717,1731432851.7386,0.0018830299377441,inference_service,n01582220_0.3528284728527069_n02096585_0.4230712652206421,ResNet50V2,n01582220,484,n01582220_484
1731432852.245607,1731432852.2504976,0.0048909187316894,inference_service,n04404412_0.530724823474884,ResNet50V2,n01582220,9186,n01582220_9186
1731432852.7490594,1731432852.7495737,0.0005140304565429,inference_service,n01582220_0.9995875954627991,ResNet50V2,n01582220,1548,n01582220_1548
1731432853.2719884,1731432853.2755632,0.0035748481750488,inference_service,n01582220_0.9999306201934814,ResNet50V2,n01582220,997,n01582220_997
1731432853.7715836,1731432853.7744403,0.0028567314147949,inference_service,,ResNet50V2,n01582220,14709,n01582220_14709
1731432854.2606912,1731432854.264522,0.0038309097290039,inference_service,n01582220_0.9999147653579712,ResNet50V2,n01582220,4976,n01582220_4976
1731432854.7711585,1731432854.7727575,0.0015990734100341,inference_service,n01582220_0.9888821244239807,ResNet50V2,n01582220,24147,n01582220_24147
