,label,accuracy,confidence,response_time,contribution
0,n01443537,1,0.9499177932739258,0.03488335871717965,0.9499177932739258
1,n01494475,1,0.6318382620811462,0.02119967782391163,0.6318382620811462
2,n01440764,1,0.8897261023521423,0.04814318441108057,0.8897261023521423
3,n01484850,1,0.700074315071106,0.028168301134000026,0.700074315071106
4,n01484850,1,0.9255982637405396,0.04224201149053278,0.9255982637405396
5,n01443537,0,0.0,0.03381075679496287,0.0
6,n01491361,0,0.0,0.03776174793302598,0.0
7,n01443537,1,0.9551467895507812,0.04811536968372398,0.9551467895507812
8,n01494475,1,0.9563404321670532,0.01538991928100585,0.9563404321670532
9,n01494475,1,0.5658341646194458,0.033108739883225546,0.5658341646194458
10,n01484850,0,0.0,0.04863042798521443,0.0
11,n01443537,0,0.0,0.03175029742521583,0.0
12,n01494475,1,0.7941066026687622,0.01538991928100585,0.7941066026687622
13,n01494475,1,0.923151433467865,0.052406624462381285,0.923151433467865
14,n01440764,1,0.8965052962303162,0.04633150675095116,0.8965052962303162
15,n01443537,1,0.9515185952186584,0.041445904726622934,0.9515185952186584
16,n01484850,1,0.8757759928703308,0.022277067411622924,0.8757759928703308
17,n01443537,1,0.764223575592041,0.042936761060971905,0.764223575592041
18,n01440764,1,0.7930504083633423,0.04387413633660623,0.7930504083633423
19,n01494475,1,0.9065804481506348,0.03286399430594702,0.9065804481506348
20,n01440764,1,0.939764142036438,0.02005641840360801,0.939764142036438
21,n01443537,1,0.9154502153396606,0.01686387851342221,0.9154502153396606
22,n01491361,0,0.0,0.040662528215259716,0.0
23,n01443537,1,0.9924736022949219,0.03462045112231987,0.9924736022949219
24,n01491361,1,0.7239312529563904,0.020375315278655923,0.7239312529563904
25,n01484850,1,0.8426281809806824,0.0350760220841658,0.8426281809806824
26,n01494475,1,0.7403868436813354,0.04325289519822008,0.7403868436813354
27,n01494475,0,0.0,0.035668141388987794,0.0
28,n01494475,1,0.962993323802948,0.01538991928100585,0.962993323802948
29,n01494475,1,0.5494335293769836,0.027975930448653874,0.5494335293769836
30,n01440764,1,0.5026127696037292,0.022969703760061622,0.5026127696037292
31,n01491361,1,0.7543845176696777,0.031246882254432642,0.7543845176696777
32,n01491361,0,0.0,0.04519871535025717,0.0
33,n01484850,1,0.8990313410758972,0.049766330684358415,0.8990313410758972
34,n01491361,1,0.32243460416793823,0.025859459746833888,0.0
35,n01440764,1,0.7850008010864258,0.034952596284330346,0.7850008010864258
36,n01440764,1,0.9930711388587952,0.031124878071676743,0.9930711388587952
37,n01484850,1,0.8686152100563049,0.05213445663692783,0.8686152100563049
38,n01440764,1,0.87296062707901,0.023549289028547273,0.87296062707901
39,n01494475,1,0.9563404321670532,0.03328596383846588,0.9563404321670532
40,n01491361,1,0.8380128741264343,0.03335844230182138,0.0
41,n01440764,1,0.9385603070259094,0.032119635267234145,0.9385603070259094
42,n01494475,1,0.878582775592804,0.04913849825425633,0.878582775592804
43,n01440764,1,0.9778683185577393,0.04648482228507186,0.9778683185577393
44,n01491361,1,0.783955991268158,0.018820486787739742,0.783955991268158
45,n01440764,1,0.944128692150116,0.04883232515920689,0.944128692150116
