,label,accuracy,confidence,response_time,contribution
0,n01494475,0,0.0,0.039074405963811384,0.0
1,n01443537,1,0.9297253489494324,0.028168449799056715,0.9297253489494324
2,n01491361,1,0.5630199909210205,0.030114614556909117,0.5630199909210205
3,n01440764,1,0.9580047726631165,0.0305615745087674,0.9580047726631165
4,n01440764,1,0.7055410742759705,0.05450725359276022,0.7055410742759705
5,n01491361,1,0.3102857768535614,0.031160723286465228,0.3102857768535614
6,n01494475,1,0.7878612279891968,0.02774372265610995,0.7878612279891968
7,n01443537,1,0.9974437952041626,0.04010684077285007,0.9974437952041626
8,n01440764,1,0.734867513179779,0.04853814899617116,0.734867513179779
9,n01484850,1,0.5022940039634705,0.028022543659188708,0.5022940039634705
10,n01440764,1,0.42672571539878845,0.028977480904547655,0.42672571539878845
11,n01491361,1,0.9450685381889343,0.039810402004217586,0.9450685381889343
12,n01494475,1,0.9702535271644592,0.13899540138684757,0.9702535271644592
13,n01484850,1,0.8803009390830994,0.12117266824230737,0.8803009390830994
