,label,accuracy,confidence,response_time,contribution
0,n01443537,1,0.9796620607376099,0.1121242189527768,0.9796620607376099
1,n01491361,1,0.9987096786499023,0.11570256679371514,0.9987096786499023
2,n01494475,0,0.0,0.19193435845095455,0.0
3,n01443537,1,0.9999988079071045,0.18859388952024747,0.9999988079071045
4,n01440764,1,0.9999974966049194,0.1202199845898482,0.9999974966049194
5,n01491361,1,0.9972937703132629,0.11879600405697628,0.9972937703132629
6,n01484850,0,0.0,0.11113100563600953,0.0
7,n01494475,1,0.5179786086082458,0.17854896757873664,0.5179786086082458
8,n01491361,1,0.6082521080970764,0.20267734333613988,0.6082521080970764
9,n01491361,1,0.7871522307395935,0.19240711943335,0.7871522307395935
10,n01443537,1,0.9999996423721313,0.13946240842229288,0.9999996423721313
11,n01491361,0,0.0,0.2090542066301343,0.0
12,n01440764,1,0.9999977350234985,0.19057450306290571,0.9999977350234985
13,n01491361,0,0.0,0.11083027858210823,0.9309023022651672
14,n01440764,0,0.0,0.12078369456360315,0.0
15,n01484850,0,0.0,0.19437585233815624,0.0
16,n01491361,1,0.9938048124313354,0.1863360632044862,0.9938048124313354
17,n01440764,1,0.9999827146530151,0.19095324058469185,0.9999827146530151
18,n01443537,1,0.9999997615814209,0.20954371410980124,0.9999997615814209
19,n01440764,1,0.9992790818214417,0.11994004777069261,0.9992790818214417
20,n01443537,0,0.0,0.18160459140509577,0.0
21,n01484850,0,0.0,0.11897451610416623,0.0
22,n01491361,0,0.0,0.18009481423816018,0.0
23,n01443537,1,0.9995118379592896,0.19704089324097984,0.9995118379592896
24,n01443537,1,0.9968895316123962,0.11897314673279351,0.9968895316123962
25,n01491361,1,0.3191693425178528,0.20036311654999428,0.3191693425178528
26,n01491361,0,0.0,0.11739474570775374,0.0
27,n01440764,0,0.0,0.20804595123177316,0.0
28,n01443537,0,0.0,0.181018323077664,0.3865106701850891
29,n01443537,1,0.9997993111610413,0.19438894016471045,0.9997993111610413
30,n01443537,1,0.9999504089355469,0.12573997405727733,0.9999504089355469
31,n01494475,1,0.9999909400939941,0.206913405800205,0.9999909400939941
